Phrase,Freq,Country,#hashtag
myanmar,288,eu,fp-burma
egypt,1674,eu,fp-egypt
ethiopia,344,eu,fp-ethiopia
india,9857,eu,fp-india
delhi,3163,eu,fp-india
maharashtra,430,eu,fp-india
karnataka,300,eu,fp-india
assam,299,eu,fp-india
gujarat,292,eu,fp-india
hyderabad,256,eu,fp-india
indonesia,514,eu,fp-indonesia
israel,20906,eu,fp-israel
jerusalem,3213,eu,fp-israel
gaza,2469,eu,fp-israel
palestine,2363,eu,fp-israel
bethlehem,565,eu,fp-israel
jordan,2793,eu,fp-jordan
benghazi,6970,eu,fp-libya
libya,4855,eu,fp-libya
#benghazi,296,eu,fp-libya
qatar,2479,eu,fp-me
kuwait,481,eu,fp-me
beirut,288,eu,fp-me
nigeria,4021,eu,fp-nigeria
pakistan,6400,eu,fp-pakistan
singapore,423,eu,fp-singapore
sudan,466,eu,fp-sudan
syria,6955,eu,fp-syria
#syria,668,eu,fp-syria
turkey,3638,eu,fp-turkey
vietnam,1897,eu,fp-vietnam
yemen,1718,eu,fp-yemen
moscow,1000,eu,russia
ussr,788,eu,russia
russia russia russia,269,eu,russia
spanish,821,eu,spain
tx,12846,usa,
utah,3588,usa,
harvard,3567,usa,
obama,83980,usa,democrat
pelosi,73331,usa,democrat
president trump,68977,usa,republican
nancy pelosi,50049,usa,democrat
adam schiff,49692,usa,democrat
fbi,48446,usa,fbi
joe biden,34213,usa,democrat
bernie,29412,usa,democrat
clinton,28916,usa,democrat
bernie sanders,25822,usa,democrat
boris johnson,23410,uk,conservative
hillary clinton,18861,usa,democrat
donald trump,17390,usa,republican
iowa,14632,usa,
florida,14448,usa,
potus,13036,usa,trump
jeremy corbyn,11480,uk,labour
elizabeth warren,11354,usa,democrat
jerry nadler,9022,usa,democrat
john kerry,7227,usa,democrat
rudy giuliani,6988,usa,republican
lindsey graham,6282,usa,republican
milwaukee,6251,usa,
meghan markle,6199,uk,royalty
michigan,6047,usa,
james comey,5396,usa,fbi
jeffrey epstein,4923,usa,justice
nick sandmann,4559,usa,gun control
obamas,4493,usa,democrat
laura loomer,4288,usa,far-right
john brennan,4258,usa,intelligence
kyle jurek,4209,usa,far-left
clintons,3993,usa,democrat
arizona,3719,usa,
portland,3706,usa,
joe bidens,3617,usa,democrat
pentagon,3580,usa,defense
mike bloomberg,3021,usa,democrat
christopher wray,3019,usa,fbi
tucker carlson,2961,usa,cons-media
ted cruz,2960,usa,republican
harvey weinstein,2952,usa,rape
baghdad,2678,usa,fp-iraq
barack obama,2509,usa,democrat
christopher steele,2415,uk,intel
andrew mccabe,2378,usa,fbi
corbyn,2228,uk,labour
emily thornberry,2215,uk,labour
