Phrase,Freq,Country,#hashtag,Synonyms,UK-Gov
immunity strategy,262,,corona-virus,,1
state health depts,262,,corona-virus,,1
ipe,256,,corona-virus,,1
ppe,256,,corona-virus,,1
ppes,256,,corona-virus,,1
mass testing,246,,corona-virus,,1
fearmongering hoax,239,,corona-virus,,1
lock-downs,234,,corona-virus,,1
death projections,232,,corona-virus,,1
health crisis,231,,corona-virus,,1
drug combination,230,,corona-virus,,1
media over-reaction,230,,corona-virus,,1
#vaccine,228,,corona-virus,,1
fishbowl cleaner,228,,corona-virus,,1
doom train,216,,corona-virus,,1
face-masks,213,,corona-virus,,1
microchip technology,213,,corona-virus,,1
chloroquine,209,,corona-virus,,1
hydroxychloroquine-azithromycin,202,,corona-virus,,1
death predictions,192,,corona-virus,,1
doom fauci,192,,corona-virus,,1
immunity passports,186,,corona-virus,,1
population reduction agenda,185,,corona-virus,,1
virus lies,184,,corona-virus,,1
corona jihad,183,,corona-virus,,1
5g equipment,181,,corona-virus,,1
cruise ship response,180,,corona-virus,,1
healthcare capacity,180,,corona-virus,,1
doomsday media predictions,179,,corona-virus,,1
doomsday model,179,,corona-virus,,1
national emergency,179,,corona-virus,,1
pandemic playbook,179,,corona-virus,,1
health nightmare,178,,corona-virus,,1
test kits,177,,corona-virus,,1
corona virus tests,176,,corona-virus,,1
hydroxychloroquine-deniers,176,,corona-virus,,1
kits,176,,corona-virus,,1
motion death,176,,corona-virus,,1
sulfate 220mg,175,,corona-virus,,1
post-coronavirus,169,,corona-virus,,1
corona-scheme,164,,corona-virus,,1
healthcare rations,164,,corona-virus,,1
medicine rations,164,,corona-virus,,1
treatement,164,,corona-virus,,1
treatment ,164,,corona-virus,,1
blood shortage,163,,corona-virus,,1
out-patient treatment regimen,162,,corona-virus,,1
c19,161,,corona-virus,,1
lockdown,161,,corona-virus,,1
test-kits,161,,corona-virus,,1
health catastrophe,160,,corona-virus,,1
test swabs,159,,corona-virus,,1
shutdown response,158,,corona-virus,,1
crisis bill,154,,corona-virus,,1
pandemic payraise,154,,corona-virus,,1
flu,153,,corona-virus,,1
mortality factor,128,,corona-virus,,1
