Phrase,Freq,Country,#hashtag,Synonyms
impeachment coup,1906,usa,impeachment,
impeachment managers,1824,usa,impeachment,
impeachment manager,1732,usa,impeachment,
hearing,1731,usa,impeachment,
impeachment charade,1528,usa,impeachment,
impeachment witness,1382,usa,impeachment,
impeachment farce,1360,usa,impeachment,
impeachment proceedings,1325,usa,impeachment,
house impeachment,1315,usa,impeachment,
daniel goldman,1275,usa,impeachment,
impeachment votes,1264,usa,impeachment,
impeachment witnesses,1060,usa,impeachment,
house impeachment managers,1060,usa,impeachment,
impeachment vote,1038,usa,impeachment,
impeachment pens,962,usa,impeachment,
impeachment circus,940,usa,impeachment,
democrats impeachment,795,usa,impeachment,
impeachment report,737,usa,impeachment,
impeachment effort,633,usa,impeachment,
impeachment trial rules,585,usa,impeachment,
impeachment nonsense,563,usa,impeachment,
impeachment team,546,usa,impeachment,
impeachment push,540,usa,impeachment,
impeachment evidence,540,usa,impeachment,
impeachment crap,537,usa,impeachment,
impeachment stunt,529,usa,impeachment,
impeachment rules,520,usa,impeachment,
impeachment delay,517,usa,impeachment,
impeachment resolution,504,usa,impeachment,
sham impeachment process,461,usa,impeachment,
impeachment investigations,457,usa,impeachment,
impeachment abuse,448,usa,impeachment,
senate impeachment,448,usa,impeachment,
impeachment power,445,usa,impeachment,
impeachment markup,440,usa,impeachment,
impeachment drama,423,usa,impeachment,
sham impeachment trial,406,usa,impeachment,
impeachment debate,403,usa,impeachment,
impeachment efforts,389,usa,impeachment,
impeachment committee,383,usa,impeachment,
impeachment lawyer,369,usa,impeachment,
biden-ukraine,368,usa,impeachment,
impeachment leak,365,usa,impeachment,
impeachment testimony,361,usa,impeachment,
impeachment fiasco,357,usa,impeachment,
impeachment thing,353,usa,impeachment,
impeachment questions,347,usa,impeachment,
impeachment poll numbers,346,usa,impeachment,
impeachment gambit,336,usa,impeachment,
impeachment article,307,usa,impeachment,
impeachment argument,297,usa,impeachment,
impeachment coverage,296,usa,impeachment,
impeachment crusade,292,usa,impeachment,
impeachment bs,292,usa,impeachment,
impeachment video,292,usa,impeachment,
house impeachment process,290,usa,impeachment,
sham #impeachment,289,usa,impeachment,
impeachment defense team,288,usa,impeachment,
impeachment/coup,287,usa,impeachment,
impeachment debacle,285,usa,impeachment,
democrats impeachment sham,274,usa,impeachment,
impeachment announcement,272,usa,impeachment,
impeachment narrative,271,usa,impeachment,
impeachment prosecutors,267,usa,impeachment,
democrats sham impeachment,264,usa,impeachment,
democrats impeachment case,261,usa,impeachment,
impeachment scheme,256,usa,impeachment,
house democrats impeachment,250,usa,impeachment,
dems impeachment,247,usa,impeachment,
impeachment week,247,usa,impeachment,
impeachment fraud,225,usa,impeachment,
lead impeachment manager,219,usa,impeachment,
impeachment yesterday,218,usa,impeachment,
impeachment support,217,usa,impeachment,
impeachment expert,216,usa,impeachment,
impeachment counsel,212,usa,impeachment,
stomach-turning impeachment charade damages,212,usa,impeachment,
impeachment battle,211,usa,impeachment,
democrats impeachment hoax,208,usa,impeachment,
impeachment notes,207,usa,impeachment,
scam impeachment,204,usa,impeachment,
impeachment theater,203,usa,impeachment,
impeachment train,194,usa,impeachment,
hoax impeachment,194,usa,impeachment,
house impeachment effort,187,usa,impeachment,
impeachment today,186,usa,impeachment,
impeachment theory,181,usa,impeachment,
impeachment malpractice,102,usa,impeachment,
flynn,18981,usa,intelligence,
brennan,10814,usa,intelligence,
john brennan,4258,usa,intelligence,
clapper,3935,usa,intelligence,
cia,1553,usa,intelligence,
nsc,1391,usa,intelligence,
security council,1172,usa,intelligence,
cia director,782,usa,intelligence,
elissa slotkin,770,usa,intelligence,
fisc,768,usa,intelligence,
ray mcgovern,614,usa,intelligence,
nsa,613,usa,intelligence,
cia officer,438,usa,intelligence,
alexander vindman,418,usa,intelligence,
joe maguire,413,usa,intelligence,
rick grenell,365,usa,intelligence,
robert obrien,328,usa,intelligence,
#flynn,322,usa,intelligence,
mr. flynn,302,usa,intelligence,
intelligence briefing,250,usa,intelligence,
michael rogers,234,usa,intelligence,
dni,188,usa,intelligence,
gen flynn,186,usa,intelligence,
intelligence community agents,103,usa,intelligence,
intelligence swamp,80,usa,intelligence,
reza aslan,958,usa,islam,
travel ban,314,usa,islam,
glenn greenwald,463,usa,journalist,
greg gutfeld,430,usa,journalist,
peter schweizer,320,usa,journalist,
attkisson,308,usa,journalist,
horowitz,17933,usa,justice,
mueller,13625,usa,justice,
amendment,12954,usa,justice,
obstruction,9535,usa,justice,
misconduct,7886,usa,justice,
epstein,7504,usa,justice,
counsel,6798,usa,justice,
hearings,5681,usa,justice,
jeffrey epstein,4923,usa,justice,
barr,4824,usa,justice,
bill barr,4755,usa,justice,
justice department,3785,usa,justice,
indictment,3615,usa,justice,
debates,3199,usa,justice,
subpoenas,2910,usa,justice,
amendment rights,2848,usa,justice,
commission,2790,usa,justice,
nypd,2641,usa,justice,
collusion hoax,2332,usa,justice,
william barr,2322,usa,justice,
doj,2309,usa,justice,
war powers resolution,2293,usa,justice,
judiciary committee,2254,usa,justice,
war powers,1721,usa,justice,
sheriff,1539,usa,justice,
circuit,1294,usa,justice,
circuit court,1288,usa,justice,
david kris,1288,usa,justice,
ken starr,1267,usa,justice,
michael horowitz,1265,usa,justice,
rod rosenstein,1227,usa,justice,
michael atkinson,1122,usa,justice,
john roberts,1049,usa,justice,
ruth bader ginsburg,922,usa,justice,
george conway,794,usa,justice,
juror bias,770,usa,justice,
amy berman-jackson,616,usa,justice,
loretta lynch,518,usa,justice,
andrew weissmann,514,usa,justice,
house judiciary,470,usa,justice,
bader ginsburg,438,usa,justice,
michael mukasey,407,usa,justice,
night house judiciary chairman,398,usa,justice,
andy mccabe,390,usa,justice,
lawrence vandyke,348,usa,justice,
sally yates,347,usa,justice,
barry berke,334,usa,justice,
doj official,309,usa,justice,
circuit court judges,281,usa,justice,
mr. berke,279,usa,justice,
ammendment,219,usa,justice,
pardons/sentence,219,usa,justice,
tom homan,208,usa,justice,
doj/state,204,usa,justice,
circuit judges,203,usa,justice,
jessie liu,202,usa,justice,
nypd officers,187,usa,justice,
lung growths,179,usa,justice,
circuit court rules,175,usa,justice,
justice department misconduct,114,usa,justice,
line prosecutors,110,usa,justice,
juror questions,108,usa,justice,
ban bill,104,usa,justice,
cnn,6420,usa,left-media,
chris wallace,4498,usa,left-media,
chris matthews,1476,usa,left-media,
paul krugman,1366,usa,left-media,
rachel maddow,1241,usa,left-media,
michael moore,1051,usa,left-media,
van jones,958,usa,left-media,
anderson cooper,908,usa,left-media,
jim acosta,906,usa,left-media,
maddow,699,usa,left-media,
bill maher,500,usa,left-media,
manu raju,478,usa,left-media,
brian stelter,408,usa,left-media,
antifa,384,usa,left-media,
marianne williamson,374,usa,left-media,
joy behar,369,usa,left-media,
hanoi jane,351,usa,left-media,
jeff zucker,348,usa,left-media,
chris cuomo,347,usa,left-media,
joe scarborough,340,usa,left-media,
nyt,217,usa,left-media,
john harwood,205,usa,left-media,
jeffrey toobin,196,usa,left-media,
maggie haberman,194,usa,left-media,
twitter,50399,usa,media,
hollywood,13391,usa,media,
facebook,10699,usa,media,
youtube,6760,usa,media,
google,5082,usa,media,
netflix,3223,usa,media,
witch hunt,2829,usa,media,
retweets,2684,usa,media,
fb,2645,usa,media,
instagram,1476,usa,media,
geraldo,1100,usa,media,
politico,962,usa,media,
david wright,840,usa,media,
glenn simpson,676,usa,media,
hoax number,422,usa,media,
jack dorsey,399,usa,media,
jim cramer,385,usa,media,
cramer,337,usa,media,
swamp medias cover-up,319,usa,media,
ratings drought,308,usa,media,
establishment-press,274,usa,media,
jon scott,266,usa,media,
jeff jensen,242,usa,media,
smackdown,228,usa,media,
disinformation hoax number,202,usa,media,
media hypocrisy,149,usa,media,
swamp-press,137,usa,media,
collusion hoax stories,102,usa,media,
fox news reporter treason,101,usa,media,
cnn/ny,98,usa,media,
sara carter,345,usa,music,
elvis presley,331,usa,music,
freddie,304,usa,music,
elton john,290,usa,music,
nasa,989,usa,nasa,
spangled banner,755,usa,nationalism,
nato,2365,usa,nato,
mike pence,337,usa,pence,
phil haney,1990,usa,phil-haney,
phillip haney,173,usa,phil-haney,
poverty manufacturing wages,173,usa,poverty,
militia,1996,usa,protest,
militias,1562,usa,protest,
san juan,486,usa,PuertoRico,
blacks,2563,usa,race,
martin luther,1903,usa,race,
whites,1837,usa,race,
supremacist,1810,usa,race,
martin luther king jr.,1357,usa,race,
malcolm,266,usa,race,
dr. martin luther king jr.,213,usa,race,
nigga,209,usa,race,
race-baiting,207,usa,race,
niggas,184,usa,race,
lives matter,184,usa,race,
howard stern,318,usa,radio,
harvey weinstein,2952,usa,rape,
weinstein,707,usa,rape,
republicans,12811,usa,republicans,
romney,11401,usa,republicans,romney
mcconnell,8721,usa,republicans,mcconnell
rudy giuliani,6988,usa,republicans,giuliani
rudy,6723,usa,republicans,giuliani
giuliani,6653,usa,republicans,giuliani
mitch mcconnell,6469,usa,republicans,mcconnell
lindsey graham,6282,usa,republicans,graham
devin nunes,5186,usa,republicans,nunes
graham,3966,usa,republicans,graham
pompeo,3377,usa,republicans,pompeo
ted cruz,2960,usa,republicans,cruz
mitch,2853,usa,republicans,mcconnell
cruz,2565,usa,republicans,cruz
gop,2413,usa,republicans,
bush,2276,usa,republicans,bush
reagan,2273,usa,republicans,reagan
rep,2233,usa,republicans,
sessions,2064,usa,republicans,sessions
john bolton,2043,usa,republicans,bolton
jim jordan,2012,usa,republicans,
pat cipollone,1970,usa,republicans,
alan dershowitz,1933,usa,republicans,
reps,1868,usa,republicans,
doug collins,1831,usa,republicans,
mike lee,1809,usa,republicans,
steve bannon,1543,usa,republicans,bannon
roger stone,1535,usa,republicans,
kevin mccarthy,1517,usa,republicans,
roger,1502,usa,republicans,
mike rogers,1490,usa,republicans,
ratcliffe,1444,usa,republicans,
mike flynn,1444,usa,republicans,
conway,1307,usa,republicans,
rand paul,1286,usa,republicans,
lindsey,1272,usa,republicans,graham
bolton,1239,usa,republicans,bolton
house republicans,1238,usa,republicans,
kavanaugh,1234,usa,republicans,
susan collins,1210,usa,republicans,
gates,1153,usa,republicans,
mike pompeo,1107,usa,republicans,pompeo
mccain,1060,usa,republicans,mccain
senate republicans,1025,usa,republicans,
john ratcliffe,986,usa,republicans,
meghan mccain,983,usa,republicans,mccain
stone,977,usa,republicans,
greg abbott,961,usa,republicans,
brett kavanaugh,957,usa,republicans,
kyle,920,usa,republicans,
mark meadows,910,usa,republicans,
republican,892,usa,republicans,
ronald reagan,892,usa,republicans,reagan
josh hawley,821,usa,republicans,
dershowitz,793,usa,republicans,
nikki haley,754,usa,republicans,
murkowski,741,usa,republicans,
john mccain,733,usa,republicans,mccain
george papadopoulos,683,usa,republicans,
michael cohen,671,usa,republicans,
republican party,668,usa,republicans,
mitt romney,641,usa,republicans,romney
paul manafort,630,usa,republicans,
louie gohmert,613,usa,republicans,
joe digenova,603,usa,republicans,
robert charles,546,usa,republicans,
rick scott,529,usa,republicans,
martha mcsally,502,usa,republicans,
lindsay graham,459,usa,republicans,graham
stephen miller,442,usa,republicans,
ron johnson,427,usa,republicans,
liz cheney,418,usa,republicans,
deven nunes,406,usa,republicans,
james baker,401,usa,republicans,
gingrich,376,usa,republicans,
john mcguire,362,usa,republicans,
richard nixon,357,usa,republicans,
pence,349,usa,republicans,pence
lisa murkowski,343,usa,republicans,
stephanie grisham,342,usa,republicans,
tea party,341,usa,republicans,
matt gaetz,325,usa,republicans,
sarah sanders,323,usa,republicans,
gaetz,317,usa,republicans,
carly fiorina,314,usa,republicans,
john dean,312,usa,republicans,
jonathan winer,303,usa,republicans,
rafiekian,301,usa,republicans,
lee zeldin,298,usa,republicans,
debbie lesko,293,usa,republicans,
jeb,282,usa,republicans,
tim morrison,275,usa,republicans,
abby huntsman,269,usa,republicans,
edgar hoover,268,usa,republicans,
mike johnson,259,usa,republicans,
george bush,252,usa,republicans,
ben carson,241,usa,republicans,
eisenhower,240,usa,republicans,
anthony ornato,238,usa,republicans,
peter navarro,231,usa,republicans,
mick mulvaney,221,usa,republicans,
kevin brady,221,usa,republicans,
john james,211,usa,republicans,
marsha blackburn,207,usa,republicans,
kushner,206,usa,republicans,
haley,203,usa,republicans,
pete hegseth,197,usa,republicans,
college republicans,183,usa,republicans,
roger stone jury foreman,289,usa,roger-stone,
jury foreman,284,usa,roger-stone,
silence stone,259,usa,roger-stone,
stones trial,230,usa,roger-stone,
aaron zelinsky,162,usa,roger-stone,
tomeka hart,160,usa,roger-stone,
henry greenberg,138,usa,roger-stone,
adam jed,115,usa,roger-stone,
roger stone democrat,114,usa,roger-stone,
case stones lawyers,93,usa,roger-stone,
sanctions,8491,usa,russia,
sergei millian,579,usa,russia,
nellie ohr,321,usa,russia,
strzok-page docs,261,usa,russia,
uranium scandal,260,usa,russia,
edward snowden,191,usa,russia,
snowflakes,1556,usa,segment,
trump supporter,1406,usa,segment,
trump supporters,702,usa,segment,
californians,325,usa,segment,
taylor swift,831,usa,singer,
taxpayer dollars,2717,usa,spending,
tax cut,492,usa,spending,
income tax,462,usa,spending,
tax cutter,296,usa,spending,
year payroll tax cut,266,usa,spending,
dollar government contract,247,usa,spending,
welfare budget$71b,197,usa,spending,
governments purchases,112,usa,spending,
chris steele,720,usa,sports,
brandon brown,402,usa,sports,
ryan newman,370,usa,sports,
megan rapinoe,347,usa,sports,
tom watson,286,usa,sports,
josh roberts,256,usa,sports,
world series,242,usa,sports,
chris keating,211,usa,sports,
lee smith,209,usa,sports,
espn,182,usa,sports,
dwyane wade,153,usa,sports,
charleston,302,usa,supremacist,
gitmo,1072,usa,terrorism,
gregory timm,860,usa,terrorism,
omar khadr,674,usa,terrorism,
osama,302,usa,terrorism,
world trade center,260,usa,terrorism,
jihadist,253,usa,terrorism,
president trump,68977,usa,trump,trump
trump,46980,usa,trump,trump
donald,22617,usa,trump,trump
donald trump,17390,usa,trump,trump
potus,13036,usa,trump,trump
mar-a-lago,2224,usa,trump,trump
barron,2114,usa,trump,
ivanka,2039,usa,trump,ivanka
donald j trump,1680,usa,trump,trump
executive privilege,1526,usa,trump,
barron trump,1121,usa,trump,
#trump,1012,usa,trump,
candidate trump,886,usa,trump,
donald trump jr.,549,usa,trump,
mr. trump,485,usa,trump,trump
sotu speech,464,usa,trump,
donald john trump,421,usa,trump,trump
trump campaign,408,usa,trump,
day president trump,385,usa,trump,
whitehouse,378,usa,trump,
presidents side,350,usa,trump,
jared kushner,333,usa,trump,
trump rally,332,usa,trump,
president trump signs,310,usa,trump,
trumps,289,usa,trump,
situation room,260,usa,trump,
brimerupting,256,usa,trump,
years president trump,195,usa,trump,
freedom,21015,usa,value,
liberty,4437,usa,value,
youngsters,253,usa,youth,
college kids,224,usa,youth,
america,124925,usa,,
house,99320,usa,,
senate,77871,usa,,
state,64526,usa,,
states,46533,usa,,
u.s.,39400,usa,,
virginia,37590,usa,,
americans,23148,usa,,
speaker,21128,usa,,
washington,19210,usa,,
american,18663,usa,,
california,18507,usa,,
senators,17348,usa,,
iowa,14632,usa,,
florida,14448,usa,,
texas,12846,usa,,
swamp,12685,usa,,
carter,12548,usa,,
durham,11844,usa,,
senator,9887,usa,,
congress,8901,usa,,
pensacola,8464,usa,,
richmond,7910,usa,,
puerto,7866,usa,,
representatives,7079,usa,,
pennsylvania,7046,usa,,
senate trial,6978,usa,,
nyc,6722,usa,,
governor,6716,usa,,
milwaukee,6251,usa,,
michigan,6047,usa,,
usa,6035,usa,,
congressman,5741,usa,,
san francisco,3993,usa,,
amazon,3854,usa,,
minnesota,3724,usa,,
arizona,3719,usa,,
portland,3706,usa,,
jeff van,3706,usa,,
nbc,3655,usa,,
utah,3588,usa,,
harvard,3567,usa,,
caucus,3552,usa,,
nj,3532,usa,,
va,3472,usa,,
mass,3470,usa,,
wisconsin,3426,usa,,
chicago,3344,usa,,
representative,3308,usa,,
georgia,3260,usa,,
illinois,3260,usa,,
ohio,3255,usa,,
dc,3193,usa,,
agencies,3141,usa,,
hershey,3106,usa,,
carolina,2936,usa,,
rep.,2625,usa,,
ny,2624,usa,,
subpoena,2568,usa,,
capitol,2551,usa,,
senate floor,2492,usa,,
seattle,2475,usa,,
house floor,2313,usa,,
house judiciary committee,2312,usa,,
houston,2307,usa,,
alabama,2228,usa,,
richard jewell,2197,usa,,
kentucky,2153,usa,,
la,2116,usa,,
boston,2103,usa,,
baltimore,2067,usa,,
tucker,2038,usa,,
austin,2015,usa,,
sidney powell,1876,usa,,
arkansas,1871,usa,,
jacksonville,1841,usa,,
eric ciaramella,1794,usa,,
atlanta,1783,usa,,
detroit,1708,usa,,
project veritas,1689,usa,,
heritage,1686,usa,,
vegas,1667,usa,,
tennessee,1656,usa,,
hampshire,1574,usa,,
oregon,1571,usa,,
house speaker,1552,usa,,
washington dc,1514,usa,,
philadelphia,1499,usa,,
oklahoma,1459,usa,,
megan,1444,usa,,
kansas,1437,usa,,
boeing,1433,usa,,
manhattan,1421,usa,,
colorado,1419,usa,,
hawaii,1404,usa,,
lincoln,1398,usa,,
miami,1384,usa,,
jfk,1370,usa,,
congressmen,1365,usa,,
nixon,1255,usa,,
indiana,1239,usa,,
massachusetts,1224,usa,,
duke,1221,usa,,
ford,1181,usa,,
nas pensacola,1132,usa,,
malarkey,1058,usa,,
babylon,1053,usa,,
goldman,1017,usa,,
u.s,1016,usa,,
centrists,1010,usa,,
coup update,1001,usa,,
states senate,1000,usa,,
charlottesville,999,usa,,
impunity,983,usa,,
ranchers,977,usa,,
memorial,976,usa,,
bruce ohr,974,usa,,
d.c.,971,usa,,
defamation lawsuit,966,usa,,
smollett,957,usa,,
nh,954,usa,,
cali,953,usa,,
alexa,952,usa,,
cipollone,947,usa,,
clint eastwood,946,usa,,
inspector generals,945,usa,,
brooklyn,942,usa,,
oprah,942,usa,,
george washington,941,usa,,
bureaucracy,936,usa,,
homeland,935,usa,,
louisiana,935,usa,,
departure,929,usa,,
dog-faced pony soldier,929,usa,,
nc,922,usa,,
stanford,904,usa,,
senate majority leader,903,usa,,
trey,901,usa,,
maryland,891,usa,,
sf,891,usa,,
kanye,887,usa,,
dallas,885,usa,,
alaska,877,usa,,
turley,870,usa,,
sacramento,867,usa,,
house counsel,858,usa,,
nrc,854,usa,,
dime,832,usa,,
state sponsor,830,usa,,
nike,829,usa,,
plp,825,usa,,
capitol hill,815,usa,,
ups,813,usa,,
liz,790,usa,,
verge,787,usa,,
wa,786,usa,,
elvis,771,usa,,
jeopardy,771,usa,,
napolitano,767,usa,,
newsom,760,usa,,
taylor,760,usa,,
columbia,753,usa,,
blackburn,752,usa,,
san diego,750,usa,,
orleans,744,usa,,
baby mama,740,usa,,
isaiah,728,usa,,
missouri,721,usa,,
bradford,713,usa,,
congresswoman,710,usa,,
mississippi,709,usa,,
blago,688,usa,,
virginians,678,usa,,
christopher,676,usa,,
bill gates,675,usa,,
san fran,654,usa,,
microsoft,642,usa,,
phoenix,640,usa,,
jeff bezos,629,usa,,
senate rules,624,usa,,
nevada,622,usa,,
elon,547,usa,,
texans,543,usa,,
battle creek,535,usa,,
indians,515,usa,,
kirk douglas,509,usa,,
truth bombs,509,usa,,
security threat,504,usa,,
minneapolis,491,usa,,
scott presler,465,usa,,
salvation army,445,usa,,
nebraska,435,usa,,
alexander hamilton,434,usa,,
mccarthyism,424,usa,,
richmond virginia,421,usa,,
citizen journalist,421,usa,,
virginias,413,usa,,
wall street journal story,413,usa,,
senator issues,413,usa,,
senate votes,400,usa,,
unionists,395,usa,,
banana republic,394,usa,,
fda,388,usa,,
atlantic,386,usa,,
cadillac,386,usa,,
congressional,385,usa,,
puerto rican,385,usa,,
epa,379,usa,,
yale,376,usa,,
plymouth,372,usa,,
calgary,371,usa,,
oakland,370,usa,,
foundation whistleblowers,367,usa,,
hancock,364,usa,,
bronx,355,usa,,
swamp mistress,350,usa,,
scale joint investigation,349,usa,,
marshall,349,usa,,
washington d.c.,344,usa,,
cleveland,344,usa,,
arlington,343,usa,,
rosemont seneca,343,usa,,
henderson,337,usa,,
nottingham,333,usa,,
l.a.,330,usa,,
nashville,324,usa,,
kfc,324,usa,,
calif,316,usa,,
huntington,313,usa,,
samaritans,307,usa,,
wyoming,304,usa,,
berkeley,300,usa,,
snerdley,297,usa,,
beto,296,usa,,
texas-08,295,usa,,
subway thief thanks democrats,289,usa,,
san antonio,285,usa,,
azz,283,usa,,
orlando,282,usa,,
brighton,282,usa,,
sabato,282,usa,,
tucson,280,usa,,
paul pelosi jr.,274,usa,,
bladen,274,usa,,
tessa,273,usa,,
pittsburgh,272,usa,,
abraham,272,usa,,
duval,272,usa,,
mn,271,usa,,
at&t,270,usa,,
lsu-clemson,269,usa,,
usda,268,usa,,
brandon van,268,usa,,
bacc,268,usa,,
dakota,267,usa,,
quinnipiac,267,usa,,
commander-in-chiefs trophy,262,usa,,
uni,259,usa,,
cincinnati,259,usa,,
states congress,257,usa,,
attention patriots,257,usa,,
mile sea wall,256,usa,,
house meeting,253,usa,,
baloney,252,usa,,
tobacco,252,usa,,
st. louis,252,usa,,
speech today,252,usa,,
rednecks,250,usa,,
signs phase,250,usa,,
mr johnson,249,usa,,
thomas jefferson,249,usa,,
cameraman,249,usa,,
salvo,248,usa,,
american patriots,248,usa,,
abraham lincoln,247,usa,,
tech elites,247,usa,,
house chairman,246,usa,,
loyalists,246,usa,,
disposition,246,usa,,
policy record,246,usa,,
leadership campaign,244,usa,,
diagnosis,243,usa,,
nations capital,241,usa,,
pride flag,241,usa,,
service deputy assistant director,240,usa,,
street journal editorial,239,usa,,
victim card,236,usa,,
zac goldsmith,234,usa,,
equifax,234,usa,,
midlands,233,usa,,
state funeral,230,usa,,
reasons house,230,usa,,
community standards,230,usa,,
perth,227,usa,,
disney,225,usa,,
freedom day,222,usa,,
hopkins,220,usa,,
albuquerque,220,usa,,
usc,214,usa,,
girl scout,214,usa,,
virgina,212,usa,,
usa usa,212,usa,,
honolulu,211,usa,,
angeles,210,usa,,
senate committee,208,usa,,
states senator,208,usa,,
michael goodwin,208,usa,,
house hearings,206,usa,,
john carter,205,usa,,
rochester,204,usa,,
states government,204,usa,,
samoa,203,usa,,
pearl harbor remembrance day,201,usa,,
american heroes,201,usa,,
perjury trap,200,usa,,
thomas paine,200,usa,,
orgeron,200,usa,,
hudson,198,usa,,
enemy media,198,usa,,
az,194,usa,,
noam chomsky,193,usa,,
anti-trump,193,usa,,
virginias capitol,193,usa,,
roosevelt,192,usa,,
fedex,192,usa,,
typhus outbreak rats,189,usa,,
koch,187,usa,,
georgetown,185,usa,,
libtard,185,usa,,
capitol building,184,usa,,
john maynard keynes,183,usa,,
andrew johnson,182,usa,,
jfk jr.,182,usa,,
senate acquittal,182,usa,,
libtards,181,usa,,
albany,180,usa,,
chairman senate judiciary,179,usa,,
daria ortiz,177,usa,,
state swamp officials,156,usa,,
rationing plan,152,usa,,
loretta lynch-bill clinton,149,usa,,
arizonaa,143,usa,,
palm beach jail,135,usa,,
disney measles,135,usa,,
trial prosecutors,134,usa,,
subpoena democrats,134,usa,,
city council ordinance,129,usa,,
candi cdebaca,120,usa,,
veterans/patriots,110,usa,,
bill gates charity cash,104,usa,,
multi agency taskforce,104,usa,,
oversight mandate,104,usa,,
tanker vet,101,usa,,
patrick carroll,95,usa,,
richard strauss,93,usa,,
interagency turf war,90,usa,,
allentown march,89,usa,,
pittsburgh march,89,usa,,
jorge rivas,86,usa,,
climate change,14425,,cc,
greta,13281,,cc,
air,10499,,cc,
water,9853,,cc,
planet,7754,,cc,
animals,6898,,cc,
climate,6761,,cc,
energy,6516,,cc,
humanity,4621,,cc,
warming,4179,,cc,
environment,3773,,cc,
earth,3653,,cc,
nature,3520,,cc,
ice,3322,,cc,
cc,3238,,cc,
trees,2909,,cc,
bushfires,2562,,cc,
waters,2423,,cc,
coal,2252,,cc,
greta thunberg,2105,,cc,
fuel,1772,,cc,
electricity,1763,,cc,
climate crisis,1756,,cc,
animal,1570,,cc,
rebellion,1552,,cc,
emissions,1547,,cc,
earthquake,1433,,cc,
mass immigration,1426,,cc,
species,1412,,cc,
hurricane,1407,,cc,
rinos,1388,,cc,
greens,1166,,cc,
temperatures,1071,,cc,
temperature,1029,,cc,
climate emergency,961,,cc,
climate refugees,847,,cc,
climate activist,687,,cc,
climate policy,511,,cc,
climate change activists,495,,cc,
carbon footprint,450,,cc,
oxygen,441,,cc,
climate alarmists,440,,cc,
environmentalists,419,,cc,
climate change hoax,402,,cc,
climate activists,349,,cc,
environmentalist regulations,321,,cc,
climate hoax,317,,cc,
shores,308,,cc,
co2,307,,cc,
carbon emissions,304,,cc,
penguin,266,,cc,
whale,266,,cc,
beaches,257,,cc,
magnitude earthquake,239,,cc,
climate science,239,,cc,
cooling,236,,cc,
habitat,195,,cc,
climate experts,195,,cc,
climate alarmism,194,,cc,
air pollution,192,,cc,
coal plants,191,,cc,
climate deal,190,,cc,
polluters,188,,cc,
acid rain,184,,cc,
emissions decline,161,,cc,
peter nygard,341,,child-abuse,
jesus,11577,,christian,
christian,10841,,christian,
church,7613,,christian,
christianity,6602,,christian,
christians,4259,,christian,
christ,3754,,christian,
jesus christ,3129,,christian,
catholic,2313,,christian,
pope,1682,,christian,
war,41443,,conflict,
death,28256,,conflict,
coup,18871,,conflict,
attack,18816,,conflict,
threat,16670,,conflict,
violence,16555,,conflict,
enemy,13475,,conflict,
fight,9592,,conflict,
blood,7057,,conflict,
casualties,6145,,conflict,
deaths,5562,,conflict,
flight,5299,,conflict,
conflict,4951,,conflict,
attacks,3003,,conflict,
regime change,432,,conflict,
mercenaries,390,,conflict,
flight closings,578,,corona-virus,
health nightmare,178,,corona-virus,
virus,128,,corona-virus,
mortality factor,128,,corona-virus,
surveillance-state apparatchik,125,,corona-virus,
health doctors,125,,corona-virus,
coronavirus,86,,corona-virus,
self-isolate,79,,corona-virus,
corona,39,,corona-virus,
coronavirus-,23,,corona-virus,
corona-2020,15,,corona-virus,
#coronaoutbreak,11,,corona-virus,
coronavirus-hit,9,,corona-virus,
corona-chaos,8,,corona-virus,
corruption,34677,,corruption,
corruption cases,242,,corruption,
abuse,33955,,crime,
crime,30439,,crime,
crimes,23705,,crime,
shot,18777,,crime,
prison,16456,,crime,
jail,12723,,crime,
treason,12516,,crime,
fraud,12464,,crime,
murder,11523,,crime,
criminals,10847,,crime,
gangs,8247,,crime,
assault,7195,,crime,
bribery,7060,,crime,
gang,6357,,crime,
weapon,4784,,crime,
shooter,4573,,crime,
trafficking,4533,,crime,
assassination,4002,,crime,
killing,3720,,crime,
shooting,3338,,crime,
arsonists,2071,,crime,
murders,2068,,crime,
arson,1974,,crime,
murderer,1958,,crime,
massacre,1851,,crime,
misdemeanors,1850,,crime,
rapes,1829,,crime,
sex trafficking,1631,,crime,
murderers,1558,,crime,
drug cartels,914,,crime,
mafia,733,,crime,
knife crime,462,,crime,
abuse report,455,,crime,
deal,32827,,deal,
troops,16740,,defense,
missiles,13552,,defense,
soldiers,11401,,defense,
defense,9117,,defense,
army,8681,,defense,
weapons,8225,,defense,
missile,8096,,defense,
space,7600,,defense,
arms,6805,,defense,
battle,6197,,defense,
wars,5677,,defense,
commander,4537,,defense,
navy,2430,,defense,
world war,1888,,defense,
money,56046,,economy,
job,35608,,economy,
economy,31418,,economy,
jobs,26446,,economy,
trade deal,15419,,economy,
business,12212,,economy,
taxes,10666,,economy,
trade,8670,,economy,
crisis,8270,,economy,
taxpayers,7154,,economy,
unemployment,6873,,economy,
companies,6512,,economy,
credit,6055,,economy,
poverty,5025,,economy,
bank,4847,,economy,
oil,4831,,economy,
wages,4797,,economy,
farmers,4682,,economy,
stock market,4285,,economy,
debt,4166,,economy,
tax dollars,4056,,economy,
budget,3862,,economy,
trade deals,3833,,economy,
banks,2930,,economy,
