Phrase,Freq,Country,#hashtag
intelligence,7198,,intelligence
assault,7195,,crime
taxpayers,7154,,economy
courts,7107,,justice
representatives,7079,usa,
bribery,7060,,crime
jeremy,7059,uk,labour
blood,7057,,conflict
pennsylvania,7046,usa,
rudy giuliani,6988,usa,republican
senate trial,6978,usa,
islam,6974,,islam
benghazi,6970,,fp-libya
syria,6955,,fp-syria
coverage,6903,,health
animals,6898,,cc
unemployment,6873,,economy
arms,6805,,defense
counsel,6798,usa,justice
establishment,6798,,segment
climate,6761,,cc
youtube,6760,usa,media
education,6755,,education
nothing democrats,6728,usa,democrat
rudy,6723,usa,republican
nyc,6722,usa,
prayer,6720,,religion
governor,6716,usa,
giuliani,6653,usa,republican
george soros,6650,,soros
christianity,6602,,christian
protestors,6598,,protest
health,6553,,health
england,6539,uk,
energy,6516,,cc
companies,6512,,economy
mitch mcconnell,6469,usa,republican
cnn,6420,usa,left-media
pakistan,6400,,fp-pakistan
gang,6357,,crime
law enforcement,6349,,justice
fairness,6338,,value
davos,6330,,fp-globalists
lindsey graham,6282,usa,republican
milwaukee,6251,usa,
referendum,6247,uk,election
borders,6221,,immigration
citizenship,6218,,immigration
meghan markle,6199,uk,royalty
battle,6197,,defense
activist,6169,,protest
casualties,6145,,conflict
charges,6108,,justice
mainstream media,6098,,media
tax,6075,,spending
credit,6055,,economy
michigan,6047,usa,
usa,6035,usa,
change,6032,,protest
petition,6030,,protest
dnc,6029,usa,democrat
strike,5975,,protest
chuck schumer,5945,usa,democrat
activists,5943,,protest
cancer,5872,,health
mom,5752,,family
congressman,5741,usa,
revolution,5728,,protest
george,5700,,soros
allies,5696,usa,fp
mccabe,5687,usa,fbi
hearings,5681,usa,justice
wars,5677,,defense
left,5666,,ideology
news media,5601,,media
jews,5568,,jews
deaths,5562,,conflict
socialists,5548,,ideology
terror,5521,,terrorism
james comey,5396,usa,fbi
manchester,5330,uk,
healthcare,5313,,health
flight,5299,,conflict
prosecution,5271,,justice
john durham,5224,usa,fbi
libs,5203,,ideology
devin nunes,5186,usa,republican
actor,5163,,media
google,5082,usa,media
courage,5073,,value
legislation,5045,,justice
poverty,5025,,economy
journalism,5025,,media
drugs,5013,,health
conflict,4951,,conflict
ireland,4937,uk,
paris,4924,france,france
jeffrey epstein,4923,usa,justice
elites,4921,,segment
uk,4877,uk,
libya,4855,,fp-libya
bank,4847,,economy
oil,4831,,economy
barr,4824,usa,justice
wages,4797,,economy
arrests,4794,,justice
weapon,4784,,crime
bill barr,4755,usa,justice
doctors,4750,,health
julian assange,4748,,russia
farmers,4682,,economy
civilians,4678,,segment
humanity,4621,,cc
internet,4593,,media
shooter,4573,,crime
scientists,4567,,segment
nick sandmann,4559,usa,gun control
commander,4537,,defense
trafficking,4533,,crime
senate impeachment trial,4531,usa,impeachment
lord,4524,uk,
soleimani,4518,usa,fp-iran
chris wallace,4498,usa,left-media
communism,4497,,ideology
obamas,4493,usa,democrat
africa,4493,,fp-africa
adults,4481,,segment
re-election,4442,usa,elections
liberty,4437,usa,value
doctor,4407,,health
flags,4398,,nationalism
county,4395,,nationalism
